社团名称,社团简介,成立日期,状态,成员数,社长用户名
21g站点桌球社（桌球社）,类别：文化体育类；指导单位：体育部,,active,40,15515375876
E.P.I跆拳道（跆拳道社）,类别：文化体育类；指导单位：体育部,,active,198,15000968098
排球社,类别：文化体育类；指导单位：体育部,,active,157,2417118
太极社,类别：文化体育类；指导单位：体育部,,active,27,2434212
溯风皮划艇社,类别：文化体育类；指导单位：体育部,,active,50,13291273662
白鲨电子竞技社,类别：文化体育类；指导单位：体育部,,active,800,15000675061
风亦流行街舞社,类别：文化体育类；指导单位：体育部,,active,200,2429403
自由自在游泳社,类别：文化体育类；指导单位：体育部,,active,36,2424320
Cheering Dancer 炫舞啦啦社（炫舞啦啦社）,类别：文化体育类；指导单位：体育部,,active,60,2392113
乘风龙舟社,类别：文化体育类；指导单位：体育部,,active,120,2492306
足球社,类别：文化体育类；指导单位：体育部,,active,200,2434226
网球协会,类别：文化体育类；指导单位：体育部,,active,100,17740193996
OF羽毛球协会（羽毛球社）,类别：文化体育类；指导单位：体育部,,active,150,2547310
air篮球社（篮球社）,类别：文化体育类；指导单位：体育部,,active,50,2511534
空手道社,类别：文化体育类；指导单位：体育部,,active,120,2492422
岚尚拉丁舞社,类别：文化体育类；指导单位：体育部,,active,20,2442139
单车运动协会,类别：文化体育类；指导单位：体育部,,active,50,2431420
SK8 极限联盟滑板社,类别：文化体育类；指导单位：体育部,,active,50,18359254329
酷6轮滑社,类别：文化体育类；指导单位：体育部,,active,160,2429302
激浪赛艇社,类别：文化体育类；指导单位：体育部,,active,30,2436101
水畔营地社,类别：文化体育类；指导单位：体育部,,active,114,19211341573
乒乓球社,类别：文化体育类；指导单位：体育部,,active,45,2522528
艾跑营,类别：文化体育类；指导单位：体育部,,active,100,2417426
模特社,类别：文化体育类；指导单位：体育部,,active,46,2492118
逐浪匹克社,类别：文化体育类；指导单位：体育部,,active,39,2433121
